Stars, Create, Sort , Allocate , Fill, Histogram
10000,0.002773,0.007177,0.001395,1.378713,2.553865
10000,0.002814,0.006586,0.001278,1.352133,2.512622
10000,0.002761,0.006181,0.001268,1.364779,2.462188
10000,0.002915,0.010707,0.001406,2.977867,5.166167
10000,0.002705,0.009467,0.001306,2.921192,5.089134
7,-0.000000,0.000011,0.000001,0.000008,0.000006
10000,0.002687,0.008153,0.001298,2.913167,5.137788
100,0.000063,0.000104,0.000009,0.000026,0.001135
100,0.008474,0.008079,0.000830,0.001354,0.068661
100,0.000038,0.000066,0.000006,0.000011,0.000604
10,0.000016,0.000012,0.000003,0.000005,0.000010
11,0.000016,0.000014,0.000003,0.000004,0.000012
100,0.000062,0.000100,0.000010,0.000822,0.000862
1000,0.000333,0.001109,0.000091,0.040583,0.056677
10000,0.002824,0.009272,0.001390,3.931153,5.367834
99,0.000059,0.000097,0.000010,0.000341,0.000887
9999,0.002829,0.009858,0.002826,1.996414,5.368119
9999,0.003305,0.008481,0.001433,1.980618,5.398247
9999,0.002847,0.009958,0.001382,2.031006,5.326581
9989,0.002825,0.010086,0.002618,1.995938,5.298907
9999,0.002889,0.008227,0.001364,1.029809,2.557828
9999,0.002770,0.007371,0.001577,1.025558,2.584661
10000,0.003102,0.009157,0.002784,3.238744,5.604622
7,0.000000,0.000011,0.000001,0.000003,0.000006
10000,0.004336,0.010306,0.001463,3.220633,5.569487
10000,0.004903,0.009474,0.002002,1.425906,2.807653
7,-26815615859885194199148049996411692254958731641184786755447122887443528060147093953603748596333806855380063716372972101707507765623893139892867298012168192.000000,0.000007,0.000001,0.000001,0.000005
10000,0.002879,0.007767,0.001582,1.520086,2.843681
10000,0.002486,0.006606,0.001587,1.437281,2.759739
10,0.000010,0.000015,0.000001,0.000002,0.000008
100,0.000052,0.000078,0.000009,0.000165,0.000445
10,0.000008,0.000012,0.000001,0.000001,0.000006
100,0.000064,0.000084,0.000009,0.000162,0.000468
100,0.000051,0.000082,0.000009,0.000158,0.000393
100,0.000074,0.000079,0.000013,0.000174,0.000434
100,0.000033,0.000077,0.000010,0.000151,0.000352
1000,0.000262,0.000449,0.000074,0.014316,0.031708
1000,0.000286,0.000518,0.000083,0.014910,0.035108
1000,0.000254,0.000495,0.000088,0.014684,0.031193
10000,0.003821,0.005669,0.001638,1.446470,2.801337
10000,0.002747,0.006404,0.002028,0.734265,2.562584
10000,0.005165,0.007079,0.001277,0.738470,2.569574
100,0.000047,0.000073,0.000009,0.000085,0.000383
10,0.000011,0.000015,0.000002,0.000001,0.000006
7,-3105036184601417870297958976925005110513772034233393222278104076052101905372753772661756817657292955900975461394262146412343160088229628782888574550082362278408909952041699811100530571263196889650525998387432937501785693707632115712.000000,0.000014,0.000003,0.000001,0.000034
7,2.000000,0.000007,0.000002,0.000001,0.000004
10000,0.003737,0.005537,0.001352,1.457978,2.808026
10000,0.004940,0.006073,0.001411,1.430535,2.785031
10000,0.003319,0.005394,0.001304,1.439230,2.797011
10000,0.003993,0.007577,0.001322,1.448765,3.031009
10,0.000012,0.000010,0.000001,0.000002,0.000007
100,0.000034,0.000074,0.000010,0.000176,0.000310
1000,0.000273,0.000516,0.000083,0.014988,0.028669
10000,0.004812,0.007985,0.001872,1.435887,2.737345
30000,0.011819,0.018369,0.011146,13.253540,30.949197
10000,0.002737,0.008491,0.003000,1.449498,2.745808
1000,0.000500,0.000771,0.000083,0.014671,0.030147
1000,0.000244,0.000449,0.000088,0.015141,0.032218
10000,0.004854,0.008418,0.002092,1.427990,2.711751
